date,volume,open,close,high,low,symbol
2007-08-17,42676824.0,122.01,122.06,123.5,119.82,AAPL
2007-08-20,28697254.0,123.96,122.22,124.5,120.5,AAPL
2007-08-21,46537395.0,122.16,127.57,128.96,121.0,AAPL
2007-08-22,37879635.0,131.22,132.51,132.75,130.33,AAPL
2007-08-23,30958438.0,133.09,131.07,133.34,129.76,AAPL
2007-08-24,32565459.0,130.55,135.3,135.37,129.81,AAPL
2007-08-27,25265816.0,133.3907,132.25,134.66,132.1,AAPL
2007-08-28,42120365.0,130.99,126.82,132.41,126.63,AAPL
2007-08-29,41674427.0,129.88,134.08,134.18,129.54,AAPL
2007-08-30,51272577.0,132.67,136.25,138.25,132.3,AAPL
2007-08-31,31317540.0,139.49,138.48,139.65,137.41,AAPL
2007-09-04,47029409.0,139.99,144.16,145.73,139.84,AAPL
2007-09-05,83150957.0,144.97,136.76,145.84,136.1,AAPL
2007-09-06,67885698.0,135.57,135.01,137.57,132.71,AAPL
2007-09-07,51089017.0,132.05,131.77,132.3,130.0,AAPL
2007-09-10,53136852.0,137.0,136.71,138.04,133.95,AAPL
2007-09-11,34709724.0,137.9,135.49,138.3,133.75,AAPL
2007-09-12,36548046.0,135.99,136.85,139.4,135.75,AAPL
2007-09-13,23434314.0,138.83,137.2,139.0,136.65,AAPL
2007-09-14,21681090.0,136.59,138.81,138.98,136.2,AAPL
2007-09-17,28334614.0,139.0,138.41,140.59,137.6,AAPL
2007-09-18,38003145.0,139.05,140.92,142.85,137.83,AAPL
2007-09-19,36674264.0,143.02,140.7699,143.16,139.4,AAPL
2007-09-20,24708539.0,140.15,140.31,141.79,139.32,AAPL
2007-09-21,40674221.0,141.14,144.15,144.65,140.62,AAPL
2007-09-24,37575347.0,146.73,148.28,149.85,146.65,AAPL
2007-09-25,42591025.0,146.84,153.18,153.22,146.82,AAPL
2007-09-26,34830970.0,154.47,152.77,155.0,151.25,AAPL
2007-09-27,23507014.0,153.77,154.5,154.52,152.32,AAPL
2007-09-28,21967883.0,153.44,153.47,154.6,152.75,AAPL
2007-10-01,29895206.0,154.63,156.339,157.41,152.93,AAPL
